'Year SSP119        SSP126       SSP245     SSP370     SSP434     SSP460      SSP585      SSP534-over  RCP2.6     RCP4.5     RCP6.0      RCP8.5
1887  0.061044222   0.061044222  0.0610442  0.0610442  0.0610442  0.0610442   0.0603104   0.0610442    -0.045457  -0.045457  -0.045457   -0.045457
1888  0.086420865   0.086420865  0.0864208  0.0864208  0.0864208  0.0864208   0.0855275   0.0864208    0.0124697  0.0124697  0.0124697   0.0124697
1889  0.11634507    0.11634507   0.1163450  0.1163450  0.1163450  0.1163450   0.1155943   0.1163450    0.0244754  0.0244754  0.0244754   0.0244754
1890  0.12978224    0.12978224   0.1297822  0.1297822  0.1297822  0.1297822   0.1289146   0.1297822    0.0409456  0.0409456  0.0409456   0.0409456
1891  0.13579194    0.13579194   0.1357919  0.1357919  0.1357919  0.1357919   0.1350940   0.1357919    0.0493560  0.0493560  0.0493560   0.0493560
1892  0.15024023    0.15024023   0.1502402  0.1502402  0.1502402  0.1502402   0.1498156   0.1502402    0.1057810  0.1057810  0.1057810   0.1057810
1893  0.16816684    0.16816684   0.1681668  0.1681668  0.1681668  0.1681668   0.1675916   0.1681668    0.1410054  0.1410054  0.1410054   0.1410054
1894  0.18089199    0.18089199   0.1808919  0.1808919  0.1808919  0.1808919   0.1800905   0.1808919    0.1648514  0.1648514  0.1648514   0.1648514
1895  0.18852096    0.18852096   0.1885209  0.1885209  0.1885209  0.1885209   0.1875158   0.1885209    0.1806610  0.1806610  0.1806610   0.1806610
1896  0.19975543    0.19975543   0.1997554  0.1997554  0.1997554  0.1997554   0.1992712   0.1997554    0.1838434  0.1838434  0.1838434   0.1838434
1897  0.20258426    0.20258426   0.2025842  0.2025842  0.2025842  0.2025842   0.2019420   0.2025842    0.0907516  0.0907516  0.0907516   0.0907516
1898  0.20741561    0.20741561   0.2074156  0.2074156  0.2074156  0.2074156   0.2067391   0.2074156    0.0804151  0.0804151  0.0804151   0.0804151
1899  0.21141125    0.21141125   0.2114112  0.2114112  0.2114112  0.2114112   0.2106483   0.2114112    0.1261780  0.1261780  0.1261780   0.1261780
1900  0.21805794    0.21805794   0.2180579  0.2180579  0.2180579  0.2180579   0.2174864   0.2180579    0.1662722  0.1662722  0.1662722   0.1662722
1901  0.21945085    0.21945085   0.2194508  0.2194508  0.2194508  0.2194508   0.2186485   0.2194508    0.1870069  0.1870069  0.1870069   0.1870069
1902  0.2217874     0.2217874    0.2217874  0.2217874  0.2217874  0.2217874   0.2212272   0.2217874    0.2074515  0.2074515  0.2074515   0.2074515
1903  0.18704945    0.18704945   0.1870494  0.1870494  0.1870494  0.1870494   0.1866520   0.1870494    0.0684733  0.0684733  0.0684733   0.0684733
1904  0.13945919    0.13945919   0.1394591  0.1394591  0.1394591  0.1394591   0.1389364   0.1394591    0.0366795  0.0366795  0.0366795   0.0366795
1905  0.16325673    0.16325673   0.1632567  0.1632567  0.1632567  0.1632567   0.1626377   0.1632567    0.1026279  0.1026279  0.1026279   0.1026279
1906  0.20129504    0.20129504   0.2012950  0.2012950  0.2012950  0.2012950   0.2005396   0.2012950    0.1552439  0.1552439  0.1552439   0.1552439
1907  0.21936225    0.21936225   0.2193622  0.2193622  0.2193622  0.2193622   0.2184780   0.2193622    0.1886264  0.1886264  0.1886264   0.1886264
1908  0.2324555     0.2324555    0.2324555  0.2324555  0.2324555  0.2324555   0.2313715   0.2324555    0.2124063  0.2124063  0.2124063   0.2124063
1909  0.24318801    0.24318801   0.2431880  0.2431880  0.2431880  0.2431880   0.2421105   0.2431880    0.2288022  0.2288022  0.2288022   0.2288022
1910  0.25009896    0.25009896   0.2500989  0.2500989  0.2500989  0.2500989   0.2488388   0.2500989    0.2405405  0.2405405  0.2405405   0.2405405
1911  0.25891843    0.25891843   0.2589184  0.2589184  0.2589184  0.2589184   0.2578465   0.2589184    0.2540073  0.2540073  0.2540073   0.2540073
1912  0.26881937    0.26881937   0.2688193  0.2688193  0.2688193  0.2688193   0.2680899   0.2688193    0.2686292  0.2686292  0.2686292   0.2686292
1913  0.27227529    0.27227529   0.2722752  0.2722752  0.2722752  0.2722752   0.2713561   0.2722752    0.2740923  0.2740923  0.2740923   0.2740923
1914  0.27631005    0.27631005   0.2763100  0.2763100  0.2763100  0.2763100   0.2752515   0.2763100    0.2789771  0.2789771  0.2789771   0.2789771
1915  0.28573965    0.28573965   0.2857396  0.2857396  0.2857396  0.2857396   0.2846589   0.2857396    0.2899688  0.2899688  0.2899688   0.2899688
1916  0.29990481    0.29990481   0.2999048  0.2999048  0.2999048  0.2999048   0.2990649   0.2999048    0.3054860  0.3054860  0.3054860   0.3054860
1917  0.31058779    0.31058779   0.3105877  0.3105877  0.3105877  0.3105877   0.309651    0.3105877    0.3110658  0.3110658  0.3110658   0.3110658
1918  0.32038829    0.32038829   0.3203882  0.3203882  0.3203882  0.3203882   0.3193717   0.3203882    0.3200926  0.3200926  0.3200926   0.3200926
1919  0.32512494    0.32512494   0.3251249  0.3251249  0.3251249  0.3251249   0.3239344   0.3251249    0.3257721  0.3257721  0.3257721   0.3257721
1920  0.32881038    0.32881038   0.3288103  0.3288103  0.3288103  0.3288103   0.3275755   0.3288103    0.3291942  0.3291942  0.3291942   0.3291942
1921  0.33419283    0.33419283   0.3341928  0.3341928  0.3341928  0.3341928   0.3331053   0.3341928    0.3059049  0.3059049  0.3059049   0.3059049
1922  0.33574961    0.33574961   0.3357496  0.3357496  0.3357496  0.3357496   0.3348954   0.3357496    0.3236037  0.3236037  0.3236037   0.3236037
1923  0.32654398    0.32654398   0.3265439  0.3265439  0.3265439  0.3265439   0.3251024   0.3265439    0.3274541  0.3274541  0.3274541   0.3274541
1924  0.33840446    0.33840446   0.3384044  0.3384044  0.3384044  0.3384044   0.3374430   0.3384044    0.3412035  0.3412035  0.3412035   0.3412035
1925  0.34802606    0.34802606   0.3480260  0.3480260  0.3480260  0.3480260   0.3468775   0.3480260    0.3390268  0.3390268  0.3390268   0.3390268
1926  0.35700484    0.35700484   0.3570048  0.3570048  0.3570048  0.3570048   0.3558485   0.3570048    0.3516755  0.3516755  0.3516755   0.3516755
1927  0.36511742    0.36511742   0.3651174  0.3651174  0.3651174  0.3651174   0.3638751   0.3651174    0.3682640  0.3682640  0.3682640   0.3682640
1928  0.36830405    0.36830405   0.3683040  0.3683040  0.3683040  0.3683040   0.3669476   0.3683040    0.3760721  0.3760721  0.3760721   0.3760721
1929  0.36086661    0.36086661   0.3608666  0.3608666  0.3608666  0.3608666   0.3596334   0.3608666    0.3589672  0.3589672  0.3589672   0.3589672
1930  0.35737271    0.35737271   0.3573727  0.3573727  0.3573727  0.3573727   0.3557377   0.3573727    0.3576145  0.3576145  0.3576145   0.3576145
1931  0.37470272    0.37470272   0.3747027  0.3747027  0.3747027  0.3747027   0.373474    0.3747027    0.3781064  0.3781064  0.3781064   0.3781064
