dayofyear,date,hot_per,hot_err,cold_per,cold_err,dry_per,dry_err,wet_per,wet_err,month
201,2001-07-20,100.0,4.86902136522815,64.01515151515152,0.015427191065330526,2.0833333333333335,5.724858217222279,71.40151515151516,0.04634999158081613,7
202,2001-07-21,100.0,5.364054603353338,63.25757575757576,0.015157480444368154,2.0833333333333335,5.240310115817007,72.91666666666667,0.03913577722619044,7
203,2001-07-22,100.0,5.364054603353338,62.121212121212125,0.014752914512924598,2.0833333333333335,5.148282603320974,75.0,0.03535610205493867,7
204,2001-07-23,100.0,5.364054603353338,59.84848484848485,0.01592142119435458,2.0833333333333335,4.651827237177292,76.13636363636364,0.03329446105244333,7
205,2001-07-24,100.0,3.4650211859043907,58.333333333333336,0.015456627822026725,2.0833333333333335,4.573660887482216,76.32575757575758,0.03295085421869411,7
206,2001-07-25,100.0,3.4650211859043907,56.06060606060606,0.014759437763533612,2.0833333333333335,2.850177422164501,76.70454545454545,0.03226364055119567,7
207,2001-07-26,100.0,3.4650211859043907,54.92424242424242,0.014410842734289275,2.0833333333333335,2.6413800928343,77.27272727272727,0.012502010076340222,7
208,2001-07-27,100.0,3.4650211859043907,53.78787878787879,0.014062247705043163,2.0833333333333335,2.363806497400537,79.16666666666667,0.010626842569985568,7
209,2001-07-28,100.0,3.4650211859043907,53.03030303030303,0.01543672317924294,2.0833333333333335,1.4411455491907272,79.16666666666667,0.010626842569985568,7
210,2001-07-29,100.0,3.4650211859043907,52.27272727272727,0.01518137117650209,2.0833333333333335,3.2134313591652415,79.35606060606061,0.010439325819343913,7
211,2001-07-30,100.0,3.4650211859043907,52.083333333333336,0.015117533175814657,2.0833333333333335,2.4817290580923377,77.65151515151516,0.012126976575073794,7
212,2001-07-31,100.0,3.4650211859043907,51.515151515151516,0.014926019173759464,2.0833333333333335,2.2530617721827273,78.03030303030303,0.011751943073796107,7
213,2001-08-01,100.0,3.4650211859043907,50.946969696969695,0.014734505171706047,0.0,12.094804586809401,77.8409090909091,0.011939459824437766,8
214,2001-08-02,100.0,3.4650211859043907,49.81060606060606,0.014351477167593885,0.0,11.548717788430956,76.13636363636364,0.013627110580162015,8
215,2001-08-03,100.0,3.4650211859043907,48.86363636363637,0.0021592341161431605,0.0,10.699553053514054,74.81060606060606,0.014939727834619837,8
216,2001-08-04,100.0,4.504213125312276,48.67424242424242,0.0020514218449099175,0.0,8.779765541825116,75.18939393939394,0.014564694333336526,8
217,2001-08-05,100.0,4.504213125312276,49.621212121212125,0.0009080105972492092,0.0,7.479162047260713,75.18939393939394,0.014564694333336526,8
218,2001-08-06,100.0,4.504213125312276,49.43181818181818,0.013288599085119479,0.0,6.9118334175077205,73.48484848484848,0.05087004013269273,8
219,2001-08-07,100.0,3.203168009422768,48.67424242424242,0.013584570141737196,0.0,5.365278583737789,71.5909090909091,0.05521790014218011,8
220,2001-08-08,100.0,3.203168009422768,47.916666666666664,0.013880541198354912,0.0,4.3003747527934735,70.45454545454545,0.0578266161478647,8
221,2001-08-09,100.0,3.203168009422768,47.34848484848485,0.003937014831469909,0.0,3.0339062740571947,70.07575757575758,0.0436227184139473,8
222,2001-08-10,100.0,3.203168009422768,46.21212121212121,0.0027159362840709633,0.0,1.4620764318480397,70.45454545454545,0.04294394982642962,8
223,2001-08-11,100.0,3.203168009422768,45.265151515151516,0.0026498881738588054,2.0833333333333335,3.505310643806471,68.56060606060606,0.046337792764028184,8
224,2001-08-12,100.0,3.203168009422768,43.93939393939394,0.0025574208195617842,0.0,2.167382584610756,67.04545454545455,0.049052867114088704,8
225,2001-08-13,100.0,3.203168009422768,43.75,0.0025442111975193527,0.0,0.6630027092815478,67.61363636363636,0.04803471423281219,8
226,2001-08-14,100.0,3.203168009422768,43.56060606060606,0.002531001575476921,0.0,0.2816642662536779,68.75,0.04599840847025916,8
227,2001-08-15,100.0,3.203168009422768,42.99242424242424,0.0024913727093496263,8.333333333333334,3.2805361231277086,68.56060606060606,0.046337792764028184,8
228,2001-08-16,100.0,3.203168009422768,42.42424242424242,0.0024517438432223315,8.333333333333334,2.0952185276181616,67.8030303030303,0.04769532993905335,8
229,2001-08-17,100.0,3.203168009422768,42.04545454545455,0.0028335076341869936,6.25,0.7114108461435276,70.07575757575758,0.0436227184139473,8
230,2001-08-18,100.0,4.839749439429909,42.04545454545455,0.0028335076341869936,8.333333333333334,2.4463176285383614,71.02272727272727,0.041925796945142924,8
231,2001-08-19,100.0,4.3822412552037235,41.47727272727273,0.002788362781099174,8.333333333333334,2.248005851687484,72.34848484848484,0.03955010688883106,8
232,2001-08-20,100.0,4.3822412552037235,40.90909090909091,0.0027432179280122426,8.333333333333334,1.1092064510978652,71.96969696969697,0.0411319485998406,8
233,2001-08-21,100.0,4.3822412552037235,39.583333333333336,0.0014055885505328547,10.416666666666666,1.3945195148713143,70.83333333333333,0.04320486543495681,8
234,2001-08-22,100.0,4.3822412552037235,37.878787878787875,0.00123538714963356,10.416666666666666,1.7653869407497318,72.53787878787878,0.04009549018226695,8
