# Generated by vcsn_npz_to_csv.ipynb    Author Bryn Gibson # depreciated due to error in detrending by BS
# This file contains vcsn data detrended by SWG Full Package 
# The data is for the coordinates lat_val: -43.372 lon_val: 172.333 
date,pr,tasmax,tasmin,rsds,evspsblpot
1972-06-24,0.0,280.8722247721051,269.55975480456425,81.56843599911423,3.1247127333113475e-06
1972-06-25,9.235568541043904e-06,280.57213308530226,268.9597117492341,93.14219747306208,6.596875452998485e-06
1972-06-26,0.0,278.77207191607755,271.45967479741955,39.90099465257629,3.4765248402595825e-07
1972-06-27,0.0,279.0719863327903,269.15965005263627,74.62294948589908,1.9671002384844474e-06
1972-06-28,0.0,279.7719251635656,268.75958868675923,81.56706465857738,3.1244427364444493e-06
1972-06-29,0.0,281.7718517873096,267.3595578384603,72.30745210908768,8.91142590523239e-06
1972-06-30,0.0,286.57176620402237,270.8595208866458,30.64034596828941,8.911358406015664e-06
1972-07-01,1.1543619621079415e-05,288.07169282776636,278.1595022453781,63.047481465674736,1.585574952561726e-05
1972-07-02,0.0,287.4716438655729,277.95945308653233,76.93606227556003,8.911223407582218e-06
1972-07-03,0.0,284.87143841325883,272.75934048871756,85.03699853597863,7.753628891493825e-06
1972-07-04,9.949836385203525e-05,279.9711694946715,273.159226403403,13.276294111782448,1.9663263660301496e-06
1972-07-05,0.0,279.370888369053,274.85906959347915,56.09917924141928,8.086632608391984e-07
1972-07-06,0.0,278.7706072434345,270.55894330113335,90.82019192690325,1.9658203773753826e-06
1972-07-07,0.0,280.27033222133156,268.45879869824074,91.97632424129358,4.2803876047751496e-06
1972-07-08,0.0,281.3700633027443,268.75864799183245,85.03057362111352,3.1227243858973607e-06
1972-07-09,1.614368738955818e-05,278.469794384157,270.25850949245546,29.473609316851395,4.2798816161203826e-06
1972-07-10,8.037588486331515e-06,280.06949494799164,272.45838320010967,28.31491275856098,8.073982892022996e-07
1972-07-11,0.00017470041348133236,280.5692199258887,276.2582324937014,8.637659605421902,8.071452948749144e-07
1972-07-12,8.557560067856684e-05,278.8689632143327,276.95810620135563,10.951195865735116,8.068923005475529e-07
1972-07-13,0.0,281.9686942957454,273.857961598463,45.672208551219086,6.593689633164322e-06
1972-07-14,3.116887455689721e-05,286.56839485958005,274.0578353061172,34.09682307386129,1.3537897076644657e-05
1972-07-15,0.0,281.16812594099275,275.4576907032246,85.02157874030229,7.750592959565253e-06
1972-07-16,0.0001874107838375494,279.5678448153742,270.5575583073632,43.35353426636246,1.2379980863439486e-05
1972-07-17,6.124884384917095e-05,280.7675820003026,272.4574137044706,15.574409622744867,3.5178278195293564e-07
1972-07-18,0.0,286.3673130817153,272.7572629980623,91.9621894285903,1.0064654425683929e-05
1972-07-19,0.0,284.2670319560968,273.5571428092322,90.80348714825396,7.74958098225574e-06
1972-07-20,0.0,287.5667447269626,272.8569921028239,85.01515382543718,1.2378968886129969e-05
1972-07-21,0.0,288.766481911891,277.4568597069625,54.92120984588209,1.3536126116352988e-05
1972-07-22,0.0,287.26620688978807,276.9567212075855,88.48481286339734,1.3535873122025606e-05
1972-07-23,0.0,285.6659257641695,276.75657050117724,88.48352788042428,1.353562012769822e-05
1972-07-24,0.0,282.9656690526135,274.1564564158627,98.89892990917008,5.433496471012732e-06
1972-07-25,0.0,284.9653940305106,273.1563179164857,89.63836758244705,8.905474150336561e-06
1972-07-26,0.0,283.5650945943452,272.9561672100774,93.10931160338026,8.905221156009176e-06
1972-07-27,0.0,283.26483177927355,272.6560409177317,110.46917163993845,6.590147712580983e-06
1972-07-28,2.0692967154900543e-05,282.8645628606863,272.055896314839,46.81034347459237,1.2376944931510915e-05
1972-07-29,0.0,279.464293942099,274.555757815462,51.438697163494425,4.27482172957278e-06
1972-07-30,0.0,284.2640067129649,271.555619316085,110.46531669101941,1.006161849375536e-05
1972-07-31,0.0,281.3637377943776,271.45547471319236,105.83440066556591,4.27431574091801e-06
1972-08-01,0.0,282.2634566687591,270.65534842084656,120.87944899558113,1.0061112505100594e-05
1972-08-02,0.0,281.9631938536874,271.55520381795395,127.82261439102606,1.0060859510773208e-05
1972-08-03,0.0,280.6629005210376,271.65507142209253,27.12666540658816,7.745786067345016e-06
1972-08-04,9.0892617663485e-06,281.9626438094816,270.5549268191999,110.4588917761543,1.0060353522118462e-05
1972-08-05,0.0,279.86236268386307,272.5547883198229,61.84639310909921,3.1156405447307074e-06
1972-08-06,0.0,280.16207545472895,270.85463761341464,88.46553811880196,5.430207544756779e-06
1972-08-07,0.0,280.26180653614165,272.55451132106884,76.8901564561414,5.429954550429397e-06
1972-08-08,0.0,279.8615376175544,271.6543789252075,59.52772263893985,7.744521095708117e-06
1972-08-09,0.0,283.4612686989671,272.9542282187992,34.06341351656249,7.744268101380732e-06
1972-08-10,0.0,287.8609875733486,275.65410192645345,100.03450249599192,1.3531066229805385e-05
1972-08-11,9.059655894816387e-06,285.26070644773006,273.0539573235608,81.51464756672979,1.3530813235478004e-05
1972-08-12,0.0,288.56041921859594,276.35380661715254,68.78185623610051,8.900920252443705e-06
1972-08-13,2.756975663942285e-05,283.66015030000864,275.1536864283224,79.19726589424073,7.743256124071215e-06
1972-08-14,0.0,281.6598752779057,276.8535296183985,53.732960586560665,5.4281835901377275e-06
1972-08-15,0.0,284.0595941522872,272.3533911190215,124.33368060847053,1.2372391033618083e-05
1972-08-16,6.227936682989821e-05,282.9593435442468,273.4532587231601,80.35082061329047,8.899908275134188e-06
1972-08-17,0.0,283.8590624186283,274.1531324308143,115.07183329877444,1.5844113899625123e-05
1972-08-18,0.0,284.0587690859785,271.1529939314373,145.1631996829889,1.3529042275186334e-05
1972-08-19,0.0,287.15850016739125,270.1528554320603,127.80076968048459,1.5843607910970353e-05
1972-08-20,0.0,283.75823124880395,274.55271082916767,123.16984602563656,1.1213715837430757e-05
1972-08-21,2.059146027022507e-05,283.65795012318546,272.45256622627505,126.64079004656986,1.4685692607259904e-05
1972-08-22,0.0,282.3576873081138,274.05243383041363,111.59317938000305,1.0055799624225606e-05
1972-08-23,0.0,284.1574000789796,269.95228922752096,160.20311571050658,1.931482842630145e-05
1972-08-24,0.0,287.9571433674236,271.35214462462835,157.88701139159602,1.699975498287326e-05
1972-08-25,1.4787493455514777e-05,290.9568683453207,276.55201833228256,122.00601144280267,2.1629141067758087e-05
1972-08-26,0.00010390383249614388,278.15657501267094,276.05187983290557,7.421141674368215,3.1103276638556995e-06
1972-08-27,0.0,280.656299990568,273.0517413335286,110.42933716777466,1.0054534652588707e-05
1972-08-28,0.0,282.5560188649495,271.65160893766716,165.9837391354852,1.4683921646968235e-05
1972-08-29,0.0,284.25575604987785,270.2514460242276,141.67683586637935,1.3526259337585148e-05
1972-08-30,0.0,288.8554871312906,274.25130752485063,127.78663486778129,1.3526006343257766e-05
1972-08-31,0.0,288.8552121091877,274.7511690254736,133.572398224652,2.1627623101793803e-05
1972-09-01,0.0,290.2549309835692,279.7510305260966,65.28392757273375,1.6997731028254227e-05
1972-09-02,0.0,287.4546681684975,278.6509164407821,132.41241859073727,1.9312298483027653e-05
1972-09-03,0.0,286.6543748358477,275.15077794140507,124.30926593198296,1.9312045488700267e-05
1972-09-04,0.0,285.75410591726046,274.7506150279655,150.92840331229118,1.6996972045272075e-05
1972-09-05,0.0,293.1538247916419,272.85048263210416,130.09374430588062,2.16263581301569e-05
1972-09-06,0.0,296.3535619765703,279.55035633975837,147.45360434243884,3.7829846460545766e-05
1972-09-07,0.0,290.1532747474361,282.95021173686575,44.44283983676081,3.78295934662184e-05
1972-09-08,1.1256052857788745e-05,293.25300582884887,282.65008544452,124.30284101711786,4.0144160920991824e-05
1972-09-09,0.0,290.35273691026157,279.54994084162735,90.73666803365651,2.6254985232059598e-05
1972-09-10,0.0,285.0524435776118,277.2497840317034,132.402138726953,2.1625093158520002e-05
1972-09-11,0.0,286.1521746590245,274.4496577393577,126.6138054041362,1.2365560186778791e-05
1972-09-12,0.0,291.7519057404372,274.2495070329494,167.12187405885848,2.6254226249077442e-05
1972-09-13,6.331835902528837e-05,290.4516429253656,279.2493685335724,88.41670876582694,4.245771639845573e-05
1972-09-14,0.0,288.35136179974705,281.34923613771105,163.64707508900622,3.088336115862431e-05
1972-09-15,0.0,291.8510867776442,278.2490915348184,175.2198867857207,3.4355340656937547e-05
1972-09-16,5.404638795880601e-05,289.4508178590569,277.74895303544133,106.93140850440778,2.625321427176793e-05
1972-09-17,0.0,287.950542836954,277.24881453606434,199.52291984711835,3.088260217564216e-05
1972-09-18,0.0,291.85026171133546,275.348682140203,190.2623575203954,3.8984222572157026e-05
1972-09-19,0.0,288.9499927927482,281.5485558478572,169.42769851398486,2.9724685962437008e-05
1972-09-20,5.9816520661115646e-05,288.6496994600984,278.34840514144895,104.61144923657821,3.435407568530064e-05
1972-09-21,0.0,286.04941833447987,278.3482666420719,170.58253821600752,3.203899860389364e-05
1972-09-22,0.0,289.74915551940825,272.9481342462105,213.40542620666727,3.319615765310606e-05
1972-09-23,0.0,294.7488804973053,278.14800795386475,207.6170928838505,4.824223212096572e-05
1972-09-24,0.0,292.3486115787181,279.3478511439409,140.48601664111192,5.865867296658139e-05
1972-09-25,0.0,292.5483182460683,280.1477309551107,194.8830013114592,4.013986001742636e-05
1972-09-26,0.0,292.3480615345123,283.34757414518685,142.79826601110332,2.8565504777594935e-05
1972-09-27,0.0,291.74778040889373,275.54744785284106,219.18604963164591,3.435230472500897e-05
1972-09-28,8.177347626769915e-05,283.5474931797596,278.3472971464328,53.675136352774416,8.889029519056811e-06
1972-09-29,3.778766404138878e-05,287.4472425717192,271.9471647505714,199.507500051442,2.7407337389051783e-05
1972-09-30,0.0,286.5469431355538,277.54703235471004,214.55255601085187,3.203672165494723e-05
1972-10-01,0.0,288.74668032048214,274.84688164830175,212.23643643315228,2.6249419356857225e-05
1972-10-02,0.0,292.2464052983792,274.4467492524404,230.75372139646828,3.782326860803388e-05
1972-10-03,0.0,291.9461424833076,277.44661075306334,167.09488941642493,3.087855426640407e-05
1972-10-04,0.0,288.04584304714217,279.6464844607176,198.34366546860812,2.856348082297588e-05
1972-10-05,0.0,292.8455863355862,274.24632154727806,220.3331794358305,3.550768917595094e-05
1972-10-06,0.00011067488958360627,295.5452930029364,282.3461891514167,131.21131950168558,3.2035203688982945e-05
1972-10-07,0.0006349774193949997,287.24503018786476,283.34605065203965,80.28400149869299,1.467380187387301e-05
1972-10-08,0.00020325923105701804,282.4447673727931,280.5459243596939,35.14372802084691,7.729088441737908e-06
1972-10-09,0.00014885673590470105,283.5444679366277,279.04578586031687,39.77207789505161,8.886246581455628e-06
1972-10-10,3.5426321119302884e-05,282.84421122507166,280.0456473609399,75.65050024850433,1.3515633575835156e-05
1972-10-11,0.0,291.74393009945317,274.54550886156284,258.51998858096107,3.897840370262727e-05
1972-10-12,0.0,292.543642870319,281.04537036218585,189.07410826107397,4.8237425228745505e-05
1972-10-13,7.476557220797986e-05,288.54336784821606,277.4452257592932,180.97095560231966,4.2450126568634305e-05
1972-10-14,0.0,286.74310503314445,274.24507505288494,256.20131429610444,3.666282427054431e-05
1972-10-15,8.784742021816783e-06,291.7428300110415,275.3449426570235,167.07946962074857,4.244962057997954e-05
1972-10-16,0.0,286.8425610924543,277.34480415764654,242.30982831453335,4.013454713655135e-05
1972-10-17,6.201714131748304e-05,290.7422799668357,274.04467786530074,228.41961205714634,3.318983279492156e-05
1972-10-18,0.0,288.14199884121723,278.54453936592375,169.39043400776706,2.7402530496831566e-05
1972-10-19,0.0,288.1417238191143,277.4443947630311,168.23173935682524,2.5087457053403373e-05
1972-10-20,0.0,292.3414610040426,275.74424405662285,252.72137539436002,3.8976126753680835e-05
1972-10-21,0.0,297.24117987842413,278.94411776427705,282.8127417785745,5.054997236687868e-05
1972-10-22,0.0,293.04089264929,279.7439670578688,246.9317570885703,4.244784961968789e-05
1972-10-23,0.0,290.6406237307027,283.8438346620074,132.34688445911286,2.277162462699305e-05
1972-10-24,0.0,290.1403487085998,280.8436961626304,143.9197114146164,2.2771371632665667e-05
1972-10-25,0.0,293.74007979001254,281.5435698702846,251.55754081152614,4.128967859316593e-05
1972-10-26,0.00013721073628403246,292.7398047679096,282.943425267392,174.0097928158578,4.7076474902601166e-05
1972-10-27,0.0,290.3395358493224,274.7432745609837,296.6939478963613,3.781694374984935e-05
1972-10-28,0.0,289.5392425166726,277.1431604756692,275.85928888995085,4.12889196101838e-05
1972-10-29,0.0,295.63897359808533,277.3430036657453,287.43210058666534,5.1705356817820645e-05
1972-10-30,0.0,292.83871078301365,279.8428651663683,197.15286150212978,3.7816184766867223e-05
1972-10-31,0.0,295.1384235538795,284.24272056347564,220.29976987853172,6.675118192933172e-05
1972-11-01,0.0,293.33816073880786,280.4425942711299,302.4745713213399,5.4019418283939304e-05
1972-11-02,0.0,294.6378735096737,281.6424679787841,178.63043660692156,4.475988713118749e-05
1972-11-03,0.0,288.73760459108644,284.7423050653446,198.30511597941737,3.3185531891356095e-05
1972-11-04,0.0,288.6373234654679,281.8421726694832,134.64628399937402,3.20278668534889e-05
1972-11-05,0.0,294.73705454688064,283.44204027362184,167.05248497831502,2.855538500449971e-05
1972-11-06,0.0,296.93679173180897,286.24188956721355,127.69925602561543,4.360146311033817e-05
1972-11-07,0.0,299.4365167097061,287.64177548189906,279.31866806412677,7.137905186724167e-05
1972-11-08,0.0,296.6362233770563,282.2416125684595,224.91912868662257,4.2443548716122425e-05
1972-11-09,6.307728472165763e-05,297.1359483549534,284.4414862761138,213.343747023962,4.9387757069097455e-05
1972-11-10,0.0,291.83568553988175,281.2413355697055,261.95366809567645,4.823008839325146e-05
1972-11-11,0.0,294.1353983107476,282.3412031738441,300.14693267325026,4.938725108044269e-05
1972-11-12,0.0,301.83513549567596,281.3410646744671,280.4696528172304,7.253519530116577e-05
1972-11-13,0.0,294.2348543700574,285.64094448563696,95.28278281228467,4.5914512599147314e-05
1972-11-14,0.0,295.1345732444389,285.1408059862599,318.6616324118313,5.748835821234518e-05
1972-11-15,0.0,295.53429211882036,278.84064917633606,340.6511311202645,5.7488105218017786e-05
1972-11-16,3.989947072113864e-05,296.23402930374874,284.2405045734434,309.39975458455706,6.443230993301402e-05
1972-11-17,0.0,286.33376038516144,279.5403843846133,190.18525854201368,2.2765299768808527e-05
1972-11-18,0.0,291.2334792595429,274.24022757468936,354.5361921869703,4.707065603307141e-05
1972-11-19,0.0,293.23320423744,278.340095178828,332.544123512591,5.054263553138464e-05
1972-11-20,0.0,294.5329170083059,283.5399688864822,273.51491494563373,4.244051278419386e-05
1972-11-21,0.0,297.9326664002655,282.5398303871052,184.39307027027786,4.706989705008927e-05
1972-11-22,4.334632831159979e-05,287.8323852746469,283.53969188772817,156.61393799726577,1.9291805942509818e-05
1972-11-23,7.227735477499664e-05,293.73210414902843,278.43954728483556,290.87220501624586,5.2856440365197124e-05
1972-11-24,0.0,289.03181691989425,278.4394087854585,266.56531700592905,4.359690921244532e-05
1972-11-25,0.0,293.83156020833826,275.3392641825659,336.0086426186592,5.1698525970981374e-05
