0=normal temp: -1=cold; ; 1=hot; Precip: -1=wet; 1=dry; rest: 1=anomalous restrictions. prev_{} = previous months data  
month,year,temp,precip,rest,rest_cum,prev_temp,prev_precip,prev_rest,prev_rest_cum
9,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5683121270401653
10,1991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1991,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1992,1.0,1.0,0.0,4.673068992852213,1.0,0.0,0.0,0.0
2,1992,1.0,0.0,0.0,8.759966983676865,1.0,1.0,0.0,4.673068992852213
3,1992,0.0,1.0,0.0,14.74579338930863,1.0,0.0,0.0,8.759966983676865
4,1992,0.0,1.0,1.0,21.834393224350414,0.0,1.0,0.0,14.74579338930863
5,1992,-1.0,0.0,0.0,22.701039168443348,0.0,1.0,1.0,21.834393224350414
6,1992,-1.0,0.0,0.0,20.990278539446567,-1.0,0.0,0.0,22.701039168443348
7,1992,-1.0,0.0,0.0,7.386248432610161,-1.0,0.0,0.0,20.990278539446567
8,1992,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,7.386248432610161
9,1992,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
10,1992,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
11,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1993,0.0,0.0,0.0,2.0269612422917356,0.0,0.0,0.0,0.0
3,1993,0.0,1.0,0.0,14.534399558591865,0.0,0.0,0.0,2.0269612422917356
4,1993,0.0,0.0,0.0,1.0265842923189967,0.0,1.0,0.0,14.534399558591865
5,1993,0.0,0.0,0.0,1.6406014542074905,0.0,0.0,0.0,1.0265842923189967
6,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6406014542074905
7,1993,-1.0,0.0,0.0,5.983654443335464,0.0,0.0,0.0,0.0
8,1993,-1.0,0.0,0.0,19.385606073807327,-1.0,0.0,0.0,5.983654443335464
9,1993,0.0,0.0,0.0,3.32786215739622,-1.0,0.0,0.0,19.385606073807327
10,1993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.32786215739622
11,1993,0.0,0.0,0.0,0.26693047165248607,0.0,1.0,0.0,0.0
12,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26693047165248607
1,1994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1994,1.0,0.0,0.0,0.9953839072266562,1.0,0.0,0.0,0.0
3,1994,0.0,0.0,0.0,3.9508959987226415,1.0,0.0,0.0,0.9953839072266562
4,1994,0.0,1.0,0.0,0.6305146091722071,0.0,0.0,0.0,3.9508959987226415
5,1994,0.0,0.0,0.0,5.272372566836154,0.0,1.0,0.0,0.6305146091722071
6,1994,-1.0,-1.0,0.0,0.4248999486467931,0.0,0.0,0.0,5.272372566836154
7,1994,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.4248999486467931
8,1994,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
9,1994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1995,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1995,1.0,0.0,0.0,9.828433757080312,1.0,0.0,0.0,0.0
3,1995,1.0,0.0,0.0,6.596568823108881,1.0,0.0,0.0,9.828433757080312
4,1995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.596568823108881
5,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1995,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1995,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
8,1995,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,1995,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
10,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1996,0.0,0.0,0.0,0.46875629469253577,1.0,1.0,0.0,0.0
2,1996,1.0,0.0,0.0,0.9238864481272231,0.0,0.0,0.0,0.46875629469253577
3,1996,0.0,0.0,0.0,0.3441357722483763,1.0,0.0,0.0,0.9238864481272231
4,1996,0.0,0.0,0.0,0.43047042858341833,0.0,0.0,0.0,0.3441357722483763
5,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43047042858341833
6,1996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1996,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
8,1996,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
9,1996,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
10,1996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1997,0.0,0.0,0.0,1.2945619666557375,0.0,1.0,0.0,0.0
2,1997,0.0,0.0,0.0,1.179832496692684,0.0,0.0,0.0,1.2945619666557375
3,1997,0.0,0.0,0.0,0.1565454296249734,0.0,0.0,0.0,1.179832496692684
4,1997,0.0,0.0,0.0,1.6566195845915015,0.0,0.0,0.0,0.1565454296249734
5,1997,0.0,0.0,0.0,3.8276221697620474,0.0,0.0,0.0,1.6566195845915015
6,1997,-1.0,0.0,0.0,0.0294929847474031,0.0,0.0,0.0,3.8276221697620474
7,1997,-1.0,0.0,0.0,0.9855148958263513,-1.0,0.0,0.0,0.0294929847474031
8,1997,-1.0,0.0,0.0,0.44227264560188895,-1.0,0.0,0.0,0.9855148958263513
9,1997,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.44227264560188895
10,1997,0.0,0.0,0.0,0.0577558014632491,0.0,0.0,0.0,0.0
11,1997,1.0,1.0,0.0,0.1366892204909256,0.0,0.0,0.0,0.0577558014632491
12,1997,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1366892204909256
1,1998,1.0,1.0,0.0,0.6052774710975934,1.0,1.0,0.0,0.0
2,1998,1.0,1.0,0.0,0.0047481785612286,1.0,1.0,0.0,0.6052774710975934
3,1998,1.0,0.0,0.0,1.1778386976452395,1.0,1.0,0.0,0.0047481785612286
4,1998,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1778386976452395
5,1998,0.0,0.0,0.0,4.393702218044931,0.0,1.0,0.0,0.0
